MA0009.1	17.8627489557575	T	Beta-Hairpin-Ribbon	; acc "P20293" ; collection "CORE" ; comment "-" ; family "T" ; medline "8344258" ; pazar_tf_id "TF0000006" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0059.1	14.2370460691273	MYC::MAX	Zipper-Type	; acc "AAH36092,Q6LBK7" ; collection "CORE" ; comment "Heterodimer of MYC and MAX " ; family "Helix-Loop-Helix" ; medline "8265351" ; pazar_tf_id "TF0000038" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0146.1	13.0765950923237	Zfx	Zinc-coordinating	; acc "P17012" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "18555785" ; pazar_tf_id "-" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0132.1	9.03956138518612	Pdx1	Helix-Turn-Helix	; acc "NP_032840" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "14704343" ; pazar_tf_id "TF0000824" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0162.1	14.4555832078878	Egr1	Zinc-coordinating	; acc "P08046" ; collection "CORE" ; comment "aka Zif268" ; family "BetaBetaAlpha-zinc finger" ; medline "16041365" ; pazar_tf_id "TF0000345" ; species "10090" ; tax_group "vertebrates" ; type "bacterial 1-hybrid" 
MA0093.1	11.2902795805709	USF1	Zipper-Type	; acc "P22415" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "8052536" ; pazar_tf_id "TF0000067" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0135.1	16.3541415144804	Lhx3	Helix-Turn-Helix	; acc "P50481" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "11602361" ; pazar_tf_id "TF0000827" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0027.1	6.42106534259983	En1	Helix-Turn-Helix	; acc "P09065" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "8096059" ; pazar_tf_id "TF0000016" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0119.1	19.6648726674762	TLX1::NFIC	Helix-Turn-Helix::Other	; acc "P31314,NP_995315.1" ; collection "CORE" ; comment "heterodimer between TLX1 and NFIC" ; family "Homeo::Nuclear Factor I-CCAAT-binding" ; medline "10327073" ; pazar_tf_id "TF0000083" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0051.1	21.1344205827808	IRF2	Winged Helix-Turn-Helix	; acc "P14316" ; collection "CORE" ; comment "-" ; family "IRF" ; medline "7687740" ; pazar_tf_id "TF0000033" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0035.2	10.877868413799	Gata1	Zinc-coordinating 	; acc "P17679" ; collection "CORE" ; comment "Data is from Frank Grosveld's Lab. " ; family "GATA" ; medline "-" ; pazar_tf_id "TF0000022" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0152.1	9.85861516191245	NFATC2	Ig-fold	; acc "Q13469" ; collection "CORE" ; comment "Annotations from PAZAR NFAT1_MOUSE + NFAT1_HUMAN + NFAT1_RAT (TF0000191, TF0000193, TF0000195) in the pleiades genes project." ; family "Rel" ; medline "17916232" ; pazar_tf_id "TF0000193" ; species "10090,9606,10116" ; tax_group "vertebrates" ; type "COMPILED" 
MA0130.1	8.9580088251372	ZNF354C	Zinc-coordinating	; acc "Q86Y25" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "15555547" ; pazar_tf_id "TF0000822" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0081.1	9.06007121381261	SPIB	Winged Helix-Turn-Helix	; acc "Q01892" ; collection "CORE" ; comment "-" ; family "Ets" ; medline "7624145" ; pazar_tf_id "TF0000057" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0107.1	14.7568335646172	RELA	Ig-fold	; acc "Q04206" ; collection "CORE" ; comment "-" ; family "Rel" ; medline "1406630" ; pazar_tf_id "TF0000078" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0159.1	16.0043149001931	RXR::RAR_DR5	Zinc-coordinating	; acc "P10276,P19793" ; collection "CORE" ; comment "Dimer. Annotations from PAZAR RXR/RAR_HUMAN (TF0000788) in the RARE project." ; family "Hormone-nuclear Receptor" ; medline "17916232" ; pazar_tf_id "TF0000788" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0066.1	20.3650558402138	PPARG	Zinc-coordinating	; acc "P37231" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "11139380" ; pazar_tf_id "TF0000042" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0111.1	11.9065419262377	Spz1	Other	; acc "AAK15458" ; collection "CORE" ; comment "-" ; family "Other" ; medline "11165476" ; pazar_tf_id "TF0000079" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0098.1	7.07782163341167	ETS1	Winged Helix-Turn-Helix	; acc "CAG47050" ; collection "CORE" ; comment "-" ; family "Ets" ; medline "1542566" ; pazar_tf_id "TF0000070" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0083.1	17.9647716467558	SRF	Other Alpha-Helix	; acc "P11831" ; collection "CORE" ; comment "-" ; family "MADS" ; medline "2243767" ; pazar_tf_id "TF0000058" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0077.1	9.07881462267178	SOX9	Other Alpha-Helix	; acc "P48436" ; collection "CORE" ; comment "-" ; family "High Mobility Group" ; medline "9973626" ; pazar_tf_id "TF0000053" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0028.1	8.81228541287854	ELK1	Winged Helix-Turn-Helix	; acc "P19419" ; collection "CORE" ; comment "-" ; family "Ets" ; medline "1425594" ; pazar_tf_id "TF0000017" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0154.1	11.564474858736	EBF1	Zipper-Type	; acc "Q07802" ; collection "CORE" ; comment "Annotations from PAZAR EBF1_MOUSE (TF0000762) in the Olf_Ebf_TFBS project." ; family "Helix-Loop-Helix" ; medline "17916232" ; pazar_tf_id "TF0000762" ; species "10090" ; tax_group "vertebrates" ; type "COMPILED" 
MA0092.1	10.1435823386149	Hand1::Tcfe2a	Zipper-Type	; acc "Q64279,P15806" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "7791788" ; pazar_tf_id "TF0000066" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0069.1	13.7977195202109	Pax6	Helix-Turn-Helix	; acc "P26367" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "8132558" ; pazar_tf_id "TF0000045" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0139.1	17.205108119684	CTCF	Zinc-coordinating 	; acc "P49711" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "17512414 " ; pazar_tf_id "TF0000607" ; species "9606" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0076.1	14.123230134165	ELK4	Winged Helix-Turn-Helix	; acc "P28324" ; collection "CORE" ; comment "-" ; family "Ets" ; medline "8524663" ; pazar_tf_id "TF0000052" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0091.1	14.0701377487026	TAL1::TCF3	Zipper-Type	; acc "P17542,P15923" ; collection "CORE" ; comment "Heterodimer between TAL1 and TCF3" ; family "Helix-Loop-Helix" ; medline "8289805" ; pazar_tf_id "TF0000065" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0258.1	13.6176585887245	ESR2	Zinc-coordinating	; acc "Q92731" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "18272478" ; species "9606" ; tax_group "vertebrates" ; type "ChIP-chip" 
MA0442.1	7.96992534516199	SOX10	Other Alpha-Helix	; acc "P56693" ; collection "CORE" ; comment "Annotations from PAZAR SOX10_RAT + SOX10_HUMAN + SOX10_MOUSE (TF0000223, TF0000224, TF0000226) in the pleiades genes project." ; family "High Mobility Group" ; medline "17916232" ; pazar_tf_id "TF0000224" ; species "10090,9606,10116" ; tax_group "vertebrates" ; type "COMPILED" 
MA0163.1	19.3519112748786	PLAG1	Zinc-coordinating	; acc "Q6DJT9" ; collection "CORE" ; family "BetaBetaAlpha-zinc finger" ; medline "16041365" ; pazar_tf_id "-" ; species "9606" ; tax_group "vertebrates" ; type "bacterial 1-hybrid" 
MA0019.1	11.6518212262485	Ddit3::Cebpa	Zipper-Type	; acc "Q62857,P05554" ; collection "CORE" ; comment "dimer between Ddit3 and Cebpa" ; family "Leucine Zipper" ; medline "8657121" ; species "10116" ; tax_group "vertebrates" ; type "SELEX" 
MA0036.1	5.68777359118543	GATA2	Zinc-coordinating	; acc "P23769" ; collection "CORE" ; comment "-" ; family "GATA" ; medline "8321207" ; pazar_tf_id "TF0000023" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0151.1	9.89631870738828	ARID3A	Helix-Turn-Helix	; acc "Q62431" ; collection "CORE" ; comment "Annotations from PAZAR ARID3A_MOUSE in the TFe project (TF0000816)." ; family "Arid" ; medline "8543152" ; pazar_tf_id "TF0000816" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0125.1	9.57325017965508	Nobox	Helix-Turn-Helix	; acc "Q8VIH1" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "16997917" ; pazar_tf_id "TF0000820" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0038.1	9.47016680639999	Gfi	Zinc-coordinating	; acc "Q07120" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "8754800" ; pazar_tf_id "TF0000025" ; species "10116" ; tax_group "vertebrates" ; type "SELEX" 
MA0102.2	8.71217594697575	CEBPA	Zipper-Type	; acc "-" ; collection "CORE" ; comment "last 3 nt removed" ; family "Leucine Zipper" ; medline "1672737" ; species "-" ; tax_group "vertebrates" ; type "COMPILED" 
MA0052.1	15.7090560936245	MEF2A	Other Alpha-Helix	; acc "EAX02249" ; collection "CORE" ; comment "-" ; family "MADS" ; medline "1748287" ; pazar_tf_id "TF0000034" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0084.1	9.193014653455	SRY	Other Alpha-Helix	; acc "Q05066" ; collection "CORE" ; comment "-" ; family "High Mobility Group" ; medline "8190643" ; pazar_tf_id "TF0000059" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0160.1	10.1646684725876	NR4A2	Zinc-coordinating	; acc "P43354" ; collection "CORE" ; comment "Annotations from PAZAR NR4A2_MOUSE + NR4A2_RAT + NR4A2_HUMAN (TF0000135, TF0000153, TF0000157) in the pleiades genes project." ; family "Hormone-nuclear Receptor" ; medline "17916232" ; pazar_tf_id "TF0000135" ; species "10090,10116,9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0095.1	8.10118850374216	YY1	Zinc-coordinating	; acc "P25490" ; collection "CORE" ; comment "-" ; family "BetaBetaAlpha-zinc finger" ; medline "7816599" ; pazar_tf_id "TF0000069" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0144.1	13.6006725893023	Stat3	Ig-fold	; acc "P42227" ; collection "CORE" ; comment "-" ; family "Stat" ; medline "18555785 " ; pazar_tf_id "TF0000492" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0063.1	8.26972545955296	Nkx2-5	Helix-Turn-Helix	; acc "P42582" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "7797561" ; pazar_tf_id "TF0000040" ; species "10090" ; tax_group "vertebrates" ; type "SELEX" 
MA0161.1	6.98267909425061	NFIC	Other	; acc "P08651" ; collection "CORE" ; comment "Half-site reported based on MEME analysis of SELEX sequences" ; family "NFI CCAAT-binding" ; medline "12101405" ; pazar_tf_id "TF0000368" ; species "9606" ; tax_group "vertebrates" ; type "High-throughput SELEX SAGE" 
MA0047.2	13.2676176116311	Foxa2	Winged Helix-Turn-Helix	; acc "P35583" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "19553195 " ; pazar_tf_id "TF0000029" ; species "10090" ; tax_group "vertebrates" ; type "ChiP-seq" 
MA0080.2	9.64024742918024	SPI1	Winged Helix-Turn-Helix	; acc "P17947" ; collection "CORE" ; comment "Annotations from PAZAR PU.1 in the pleiades genes project (TF0000134)." ; family "Ets" ; medline "17916232 " ; pazar_tf_id "TF0000056" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0072.1	17.4248426117905	RORA_2	Zinc-coordinating	; acc "NP_599022" ; collection "CORE" ; comment "isoform type" ; family "Hormone-nuclear Receptor" ; medline "7926749" ; pazar_tf_id "TF0000048" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0055.1	15.9141418791189	Myf	Zipper-Type	; acc "" ; collection "CORE" ; comment "-" ; family "Helix-Loop-Helix" ; medline "9571041" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0109.1	7.46926530914378	Hltf	Zinc-coordinating	; acc "Q95216" ; collection "CORE" ; comment "updated matrix sincle last release" ; family "GATA" ; medline "12198246" ; species "9986" ; tax_group "vertebrates" ; type "SELEX" 
MA0030.1	14.8237690744434	FOXF2	Winged Helix-Turn-Helix	; acc "Q12947" ; collection "CORE" ; comment "-" ; family "Forkhead" ; medline "7957066" ; pazar_tf_id "TF0000019" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0007.1	15.703395549218	Ar	Zinc-coordinating	; acc "P15207" ; collection "CORE" ; comment "-" ; family "Hormone-nuclear Receptor" ; medline "1491700" ; pazar_tf_id "TF0000005" ; species "10117" ; tax_group "vertebrates" ; type "SELEX" 
MA0090.1	15.6777724709562	TEAD1	Helix-Turn-Helix	; acc "P28347" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "9571041" ; pazar_tf_id "TF0000064" ; species "9606" ; tax_group "vertebrates" ; type "COMPILED" 
MA0070.1	14.6408952002356	PBX1	Helix-Turn-Helix	; acc "Q5T486" ; collection "CORE" ; comment "-" ; family "Homeo" ; medline "7910944" ; pazar_tf_id "TF0000046" ; species "9606" ; tax_group "vertebrates" ; type "SELEX" 
MA0060.1	12.9251245779655	NFYA	Other Alpha-Helix	; acc "P23511" ; collection "CORE" ; comment "-" ; family "NFY CCAAT-binding" ; medline "9469818" ; species "9606,10090,10116,9031,8355,8364,9913,9986" ; tax_group "vertebrates" ; type "COMPILED" 
